Vessel,Trip No,Counter,Status,Customer,Month,Time,Total Time,Last Discharge Port Depart,Discharge Port Depart,Discharge Counts,Load Counts,Trip Details,Product,Load Quantity,Total Load Quantity,Details,Vessel_y,Customer (Finance),Cargo (Finance),Contract Type,Load-Port 1,Load-Port 2,Load-Port 3,Discharge-Port 1,Discharge-Port 2,Discharge-Port 3,Discharge-Port 4,Trade Pattern (per sched),TRADE MASTER,Schedule Map,Freight rate (per tonne) - PY,Time charter rate (per day) - PY,Rebate (per tonne) - PY,Other revenue (per trip) - PY,Demurrage rate - PY,Despatch rate - PY,Avg. cc / trip (PY),Freight rate (per tonne) - CY,Time charter rate (per day) - CY,Rebate (per tonne) - CY,Other revenue (per trip) - CY,Demurrage rate - CY,Despatch rate - CY,Type,Avg. cc / trip (CY),Fuel surcharge peg (per L),Fuel surcharge type,Fuel surcharge (tonnage factor),Fuel surcharge (litres factor),Calc comments,Reference price,Column1,In CY schedules?,Total Freight,Total Rebate,Total Time Charter,Total Revenue,b_start_str,b_end_str,Timing,Timing_str
Evans Spirit,9,9,Firm,Richardson - T,Jun,9.83,9.83,2024-06-10 21:55:45.223,2024-06-20 17:54:12.056,1,1,"Richardson - T,Grain,Thunder Bay,Port Cartier",Grain,12800.0,12800.0,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",Evans Spirit,Richardson,Grain,COA,Thunder Bay,,,Port Cartier,,,,Thunder Bay__-Port Cartier___,Evans Spirit*Richardson*Grain*Thunder Bay__-Port Cartier___,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",25.78,0,0,0,1169.3,-584.65,7662.68,26.66,0,0,0,1209.06,-604.53,,7923.211120000001,0.75,Tonnage-based,4.49,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Petroleum Posted Price - Hamilton,,YES,341248.0,0.0,0.0,341248.0,20240610215545,20240620175412,20240610215545.20240620175412,20240610215545.20240620175412
Evans Spirit,10,10,Firm,Alouette,Jun,7.88,7.88,2024-06-20 17:54:12.056,2024-06-28 15:07:51.745,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20240620175412,20240628150751,20240620175412.20240628150751,20240620175412.20240628150751
Evans Spirit,11,11,Tentative,G3,Jul,7.91,10.28,2024-06-28 15:07:51.745,2024-07-08 21:46:18.578,1,1,"G3,Grain,Thunder Bay,Port Cartier",Grain,12800.0,12800.0,"Evans Spirit,G3,Grain,Thunder Bay,Port Cartier",Evans Spirit,G3,Grain,COA,Thunder Bay,,,Port Cartier,,,,Thunder Bay__-Port Cartier___,Evans Spirit*G3*Grain*Thunder Bay__-Port Cartier___,"Evans Spirit,G3,Grain,Thunder Bay,Port Cartier",,,,,,,45000,31.44,0,0,0,1184.5,-592.5,,46530,0.75,Tonnage-based,7.8,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Sterling Fuels,,NO,402432.0,0.0,0.0,402432.0,20240628150751,20240708214618,20240628150751.20240708214618,20240628150751.20240708214618
Evans Spirit,12,12,Firm,Alouette,Jul,7.8,7.8,2024-07-08 21:46:18.578,2024-07-16 16:51:23.079,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20240708214618,20240716165123,20240708214618.20240716165123,20240708214618.20240716165123
Evans Spirit,13,13,Firm,Cargill,Jul,6.63,6.63,2024-07-16 16:51:23.079,2024-07-23 07:57:21.999,1,1,"Cargill,Grain,Sarnia,Baie Comeau",Grain,12800.0,12800.0,"Evans Spirit,Cargill,Grain,Sarnia,Baie Comeau",Evans Spirit,Cargill,Grain,COA,Sarnia,,,Baie Comeau,,,,Sarnia__-Baie Comeau___,Evans Spirit*Cargill*Grain*Sarnia__-Baie Comeau___,"Evans Spirit,Cargill,Grain,Sarnia,Baie Comeau",21.61,0,0,0,1133,-566.5,10971,22.26,0,0,0,1166.99,-583.5,,11344.014000000001,0.6,Tonnage-based,5.3,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Sterling Fuels on date of loading.,,YES,284928.0,0.0,0.0,284928.0,20240716165123,20240723075721,20240716165123.20240723075721,20240716165123.20240723075721
Evans Spirit,14,14,Firm,Alouette,Jul,8.08,8.08,2024-07-23 07:57:21.999,2024-07-31 09:48:41.266,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20240723075721,20240731094841,20240723075721.20240731094841,20240723075721.20240731094841
Evans Spirit,15,15,Firm,Richardson - T,Aug,9.09,9.68,2024-07-31 09:48:41.266,2024-08-10 02:02:51.896,1,1,"Richardson - T,Grain,Thunder Bay,Port Cartier",Grain,12800.0,12800.0,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",Evans Spirit,Richardson,Grain,COA,Thunder Bay,,,Port Cartier,,,,Thunder Bay__-Port Cartier___,Evans Spirit*Richardson*Grain*Thunder Bay__-Port Cartier___,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",25.78,0,0,0,1169.3,-584.65,7662.68,26.66,0,0,0,1209.06,-604.53,,7923.211120000001,0.75,Tonnage-based,4.49,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Petroleum Posted Price - Hamilton,,YES,341248.0,0.0,0.0,341248.0,20240731094841,20240810020251,20240731094841.20240810020251,20240731094841.20240810020251
Evans Spirit,16,16,Firm,Alouette,Aug,7.8,7.8,2024-08-10 02:02:51.896,2024-08-17 21:07:56.397,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20240810020251,20240817210756,20240810020251.20240817210756,20240810020251.20240817210756
Evans Spirit,17,17,Firm,Cargill,Aug,6.63,6.63,2024-08-17 21:07:56.397,2024-08-24 12:13:55.318,1,1,"Cargill,Grain,Sarnia,Baie Comeau",Grain,12800.0,12800.0,"Evans Spirit,Cargill,Grain,Sarnia,Baie Comeau",Evans Spirit,Cargill,Grain,COA,Sarnia,,,Baie Comeau,,,,Sarnia__-Baie Comeau___,Evans Spirit*Cargill*Grain*Sarnia__-Baie Comeau___,"Evans Spirit,Cargill,Grain,Sarnia,Baie Comeau",21.61,0,0,0,1133,-566.5,10971,22.26,0,0,0,1166.99,-583.5,,11344.014000000001,0.6,Tonnage-based,5.3,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Sterling Fuels on date of loading.,,YES,284928.0,0.0,0.0,284928.0,20240817210756,20240824121355,20240817210756.20240824121355,20240817210756.20240824121355
Evans Spirit,18,18,Firm,Alouette,Sep,0.59,8.08,2024-08-24 12:13:55.318,2024-09-01 14:05:14.584,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20240824121355,20240901140514,20240824121355.20240901140514,20240824121355.20240901140514
Evans Spirit,19,19,Firm,Richardson - T,Sep,9.83,9.83,2024-09-01 14:05:14.584,2024-09-11 10:03:41.417,1,1,"Richardson - T,Grain,Thunder Bay,Port Cartier",Grain,12800.0,12800.0,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",Evans Spirit,Richardson,Grain,COA,Thunder Bay,,,Port Cartier,,,,Thunder Bay__-Port Cartier___,Evans Spirit*Richardson*Grain*Thunder Bay__-Port Cartier___,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",25.78,0,0,0,1169.3,-584.65,7662.68,26.66,0,0,0,1209.06,-604.53,,7923.211120000001,0.75,Tonnage-based,4.49,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Petroleum Posted Price - Hamilton,,YES,341248.0,0.0,0.0,341248.0,20240901140514,20240911100341,20240901140514.20240911100341,20240901140514.20240911100341
Evans Spirit,20,20,Firm,Alouette,Sep,7.88,7.88,2024-09-11 10:03:41.417,2024-09-19 07:17:21.106,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20240911100341,20240919071721,20240911100341.20240919071721,20240911100341.20240919071721
Evans Spirit,21,21,Firm,Richardson - T,Sep,9.83,9.83,2024-09-19 07:17:21.106,2024-09-29 03:15:47.939,1,1,"Richardson - T,Grain,Thunder Bay,Port Cartier",Grain,12800.0,12800.0,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",Evans Spirit,Richardson,Grain,COA,Thunder Bay,,,Port Cartier,,,,Thunder Bay__-Port Cartier___,Evans Spirit*Richardson*Grain*Thunder Bay__-Port Cartier___,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",25.78,0,0,0,1169.3,-584.65,7662.68,26.66,0,0,0,1209.06,-604.53,,7923.211120000001,0.75,Tonnage-based,4.49,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Petroleum Posted Price - Hamilton,,YES,341248.0,0.0,0.0,341248.0,20240919071721,20240929031547,20240919071721.20240929031547,20240919071721.20240929031547
Evans Spirit,22,22,Firm,Alouette,Oct,6.02,7.88,2024-09-29 03:15:47.939,2024-10-07 00:29:27.627,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20240929031547,20241007002927,20240929031547.20241007002927,20240929031547.20241007002927
Evans Spirit,23,23,Firm,Cargill,Oct,10.31,10.31,2024-10-07 00:29:27.627,2024-10-17 07:56:14.714,1,1,"Cargill,Grain,Thunder Bay,Baie Comeau",Grain,12800.0,12800.0,"Evans Spirit,Cargill,Grain,Thunder Bay,Baie Comeau",Evans Spirit,Cargill,Grain,COA,Thunder Bay,,,Baie Comeau,,,,Thunder Bay__-Baie Comeau___,Evans Spirit*Cargill*Grain*Thunder Bay__-Baie Comeau___,"Evans Spirit,Cargill,Grain,Thunder Bay,Baie Comeau",,,,,,,13967.51,26.63,0,0,0,1166.99,-583.5,,14442.405340000001,0.6,Tonnage-based,8.4,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Sterling Fuels on date of loading.,,YES,340864.0,0.0,0.0,340864.0,20241007002927,20241017075614,20241007002927.20241017075614,20241007002927.20241017075614
Evans Spirit,24,24,Firm,Alouette,Oct,8.17,8.17,2024-10-17 07:56:14.714,2024-10-25 12:03:53.450,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20241017075614,20241025120353,20241017075614.20241025120353,20241017075614.20241025120353
Evans Spirit,25,25,Firm,Richardson - T,Nov,3.33,9.83,2024-10-25 12:03:53.450,2024-11-04 08:02:20.282,1,1,"Richardson - T,Grain,Thunder Bay,Port Cartier",Grain,12800.0,12800.0,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",Evans Spirit,Richardson,Grain,COA,Thunder Bay,,,Port Cartier,,,,Thunder Bay__-Port Cartier___,Evans Spirit*Richardson*Grain*Thunder Bay__-Port Cartier___,"Evans Spirit,Richardson - T,Grain,Thunder Bay,Port Cartier",25.78,0,0,0,1169.3,-584.65,7662.68,26.66,0,0,0,1209.06,-604.53,,7923.211120000001,0.75,Tonnage-based,4.49,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Petroleum Posted Price - Hamilton,,YES,341248.0,0.0,0.0,341248.0,20241025120353,20241104080220,20241025120353.20241104080220,20241025120353.20241104080220
Evans Spirit,26,26,Firm,Alouette,Nov,8.17,8.17,2024-11-04 08:02:20.282,2024-11-12 12:13:54.331,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20241104080220,20241112121354,20241104080220.20241112121354,20241104080220.20241112121354
Evans Spirit,27,27,Firm,Cargill,Nov,10.8,10.8,2024-11-12 12:13:54.331,2024-11-23 07:21:24.092,1,1,"Cargill,Grain,Thunder Bay,Baie Comeau",Grain,12800.0,12800.0,"Evans Spirit,Cargill,Grain,Thunder Bay,Baie Comeau",Evans Spirit,Cargill,Grain,COA,Thunder Bay,,,Baie Comeau,,,,Thunder Bay__-Baie Comeau___,Evans Spirit*Cargill*Grain*Thunder Bay__-Baie Comeau___,"Evans Spirit,Cargill,Grain,Thunder Bay,Baie Comeau",,,,,,,13967.51,26.63,0,0,0,1166.99,-583.5,,14442.405340000001,0.6,Tonnage-based,8.4,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Sterling Fuels on date of loading.,,YES,340864.0,0.0,0.0,340864.0,20241112121354,20241123072124,20241112121354.20241123072124,20241112121354.20241123072124
Evans Spirit,28,28,Firm,Alouette,Dec,0.79,8.48,2024-11-23 07:21:24.092,2024-12-01 18:52:06.102,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20241123072124,20241201185206,20241123072124.20241201185206,20241123072124.20241201185206
Evans Spirit,29,29,Firm,Richardson - H,Dec,8.14,8.14,2024-12-01 18:52:06.102,2024-12-09 22:11:25.916,1,1,"Richardson - H,Grain,Hamilton,Port Cartier",Grain,12800.0,12800.0,"Evans Spirit,Richardson - H,Grain,Hamilton,Port Cartier",Evans Spirit,Richardson,Grain,COA,Hamilton,,,Port Cartier,,,,Hamilton__-Port Cartier___,Evans Spirit*Richardson*Grain*Hamilton__-Port Cartier___,"Evans Spirit,Richardson - H,Grain,Hamilton,Port Cartier",14.88,0,0,0,1169.3,-584.65,13284.36,15.39,0,0,0,1209.06,-604.53,,13736.028240000001,0.75,Tonnage-based,2.24,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Petroleum Posted Price - Hamilton,,YES,196992.0,0.0,0.0,196992.0,20241201185206,20241209221125,20241201185206.20241209221125,20241201185206.20241209221125
Evans Spirit,30,30,Firm,Alouette,Dec,8.73,8.73,2024-12-09 22:11:25.916,2024-12-18 15:46:39.888,2,1,"Alouette,Aluminum,Sept Iles,Oswego,Toledo",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Oswego,Toledo,,,Sept-Iles__-Oswego_Toledo__,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Oswego_Toledo__,"Evans Spirit,Alouette,Aluminum,Sept Iles,Oswego,Toledo",35.0066,0,2.15,0,951.13,-475.57,55819.84,35.17,0,2.5447053690843306,0,960.64,-480.33,,57717.71456,0.7,Litres-based,0,75000,Simple - litres * price diff,Actual fuel price paid,,YES,422040.0,30536.46442901197,0.0,391503.535570988,20241209221125,20241218154639,20241209221125.20241218154639,20241209221125.20241218154639
Evans Spirit,31,31,Firm,Richardson - H,Dec,8.14,8.14,2024-12-18 15:46:39.888,2024-12-26 19:05:59.702,1,1,"Richardson - H,Grain,Hamilton,Port Cartier",Grain,12800.0,12800.0,"Evans Spirit,Richardson - H,Grain,Hamilton,Port Cartier",Evans Spirit,Richardson,Grain,COA,Hamilton,,,Port Cartier,,,,Hamilton__-Port Cartier___,Evans Spirit*Richardson*Grain*Hamilton__-Port Cartier___,"Evans Spirit,Richardson - H,Grain,Hamilton,Port Cartier",14.88,0,0,0,1169.3,-584.65,13284.36,15.39,0,0,0,1209.06,-604.53,,13736.028240000001,0.75,Tonnage-based,2.24,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Petroleum Posted Price - Hamilton,,YES,196992.0,0.0,0.0,196992.0,20241218154639,20241226190559,20241218154639.20241226190559,20241218154639.20241226190559
Evans Spirit,32,32,Tentative,US Gypsum,Dec,5.2,6.53,2024-12-26 19:05:59.702,2025-01-02 07:42:41.782,1,1,"US Gypsum,Gypsum,Belledune,Montreal",Gypsum,13500.0,13500.0,"Evans Spirit,US Gypsum,Gypsum,Belledune,Montreal",Evans Spirit,US Gypsum,Gypsum,COA,Belledune,,,Montreal,,,,Belledune__-Montreal___,Evans Spirit*US Gypsum*Gypsum*Belledune__-Montreal___,"Evans Spirit,US Gypsum,Gypsum,Belledune,Montreal",22.51,0,0,0,1267.48,-633.75,23810.97,24.23,0,0,0,1360,-680,,24620.542980000002,0.625,Tonnage-based,3.25,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Econo Windsor,,YES,327105.0,0.0,0.0,327105.0,20241226190559,20250102074241,20241226190559.20250102074241,20241226190559.20250102074241
Evans Spirit,33,33,Tentative,Alouette - B,Jan,13.96,13.96,2025-01-02 07:42:41.782,2025-01-16 06:41:36.593,1,1,"Alouette - B,Aluminum,Sept Iles,Baltimore",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette - B,Aluminum,Sept Iles,Baltimore",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Baltimore,,,,Sept-Iles__-Baltimore___,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Baltimore___,"Evans Spirit,Alouette - B,Aluminum,Sept Iles,Baltimore",50,0,2.15,0,875.76,-437.88,104463.736125,50.5,0,2.5447053690843306,0,-884.52,-442.26,,108015.50315325,0.8,Litres-based,0,66000,Simple - litres * price diff,Actual fuel price paid,,YES,606000.0,30536.46442901197,0.0,575463.5355709881,20250102074241,20250116064136,20250102074241.20250116064136,20250102074241.20250116064136
Evans Spirit,34,34,Tentative,Alouette - B,Feb,0.52,16.24,2025-01-16 06:41:36.593,2025-02-01 12:25:58.997,1,1,"Alouette - B,Aluminum,Sept Iles,Baltimore",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette - B,Aluminum,Sept Iles,Baltimore",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Baltimore,,,,Sept-Iles__-Baltimore___,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Baltimore___,"Evans Spirit,Alouette - B,Aluminum,Sept Iles,Baltimore",50,0,2.15,0,875.76,-437.88,104463.736125,50.5,0,2.5447053690843306,0,-884.52,-442.26,,108015.50315325,0.8,Litres-based,0,66000,Simple - litres * price diff,Actual fuel price paid,,YES,606000.0,30536.46442901197,0.0,575463.5355709881,20250116064136,20250201122558,20250116064136.20250201122558,20250116064136.20250201122558
Evans Spirit,35,35,Tentative,Alouette - B,Feb,16.24,16.24,2025-02-01 12:25:58.997,2025-02-17 18:10:21.400,1,1,"Alouette - B,Aluminum,Sept Iles,Baltimore",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette - B,Aluminum,Sept Iles,Baltimore",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Baltimore,,,,Sept-Iles__-Baltimore___,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Baltimore___,"Evans Spirit,Alouette - B,Aluminum,Sept Iles,Baltimore",50,0,2.15,0,875.76,-437.88,104463.736125,50.5,0,2.5447053690843306,0,-884.52,-442.26,,108015.50315325,0.8,Litres-based,0,66000,Simple - litres * price diff,Actual fuel price paid,,YES,606000.0,30536.46442901197,0.0,575463.5355709881,20250201122558,20250217181021,20250201122558.20250217181021,20250201122558.20250217181021
Evans Spirit,36,36,Tentative,Alouette - B,Mar,5.0,16.24,2025-02-17 18:10:21.400,2025-03-05 23:54:43.803,1,1,"Alouette - B,Aluminum,Sept Iles,Baltimore",Aluminum,12000.0,12000.0,"Evans Spirit,Alouette - B,Aluminum,Sept Iles,Baltimore",Evans Spirit,Alouette,Aluminum,COA,Sept-Iles,,,Baltimore,,,,Sept-Iles__-Baltimore___,Evans Spirit*Alouette*Aluminum*Sept-Iles__-Baltimore___,"Evans Spirit,Alouette - B,Aluminum,Sept Iles,Baltimore",50,0,2.15,0,875.76,-437.88,104463.736125,50.5,0,2.5447053690843306,0,-884.52,-442.26,,108015.50315325,0.8,Litres-based,0,66000,Simple - litres * price diff,Actual fuel price paid,,YES,606000.0,30536.46442901197,0.0,575463.5355709881,20250217181021,20250305235443,20250217181021.20250305235443,20250217181021.20250305235443
Florence Spirit,1,3,Firm,Elkem,Apr,7.59,9.49,2024-03-30 02:29:29.462,2024-04-08 14:12:29.369,1,1,"Elkem,Coal,Sandusky,Grande Anse",Coal,10000.0,10000.0,"Florence Spirit,Elkem,Coal,Sandusky,Grande Anse",Florence Spirit,Elkem,Coal,COA,Sandusky,,,Grande-Anse,,,,Sandusky__-Grande-Anse___,Florence Spirit*Elkem*Coal*Sandusky__-Grande-Anse___,"Florence Spirit,Elkem,Coal,Sandusky,Grande Anse",27.87,,,,1125.72,-562.86,45729.22,28.82,0,0,0,1163.99,-582,,47284.01348,0.27166850005433374,Litres-based,0,78129.41174907998,Converted Elkem calc to L,Actual fuel file including Delivery & FET,,YES,288200.0,0.0,0.0,288200.0,20240330022929,20240408141229,20240330022929.20240408141229,20240330022929.20240408141229
Florence Spirit,2,4,Firm,Arcelor,Apr,6.9,6.9,2024-04-08 14:12:29.369,2024-04-15 11:52:41.232,1,1,"Arcelor,Coke,Sandusky,Hamilton",Coke,8000.0,8000.0,"Florence Spirit,Arcelor,Coke,Sandusky,Hamilton",Florence Spirit,Arcelor,Coke,COA,Sandusky,,,Hamilton,,,,Sandusky__-Hamilton___,Florence Spirit*Arcelor*Coke*Sandusky__-Hamilton___,"Florence Spirit,Arcelor,Coke,Sandusky,Hamilton",20.55,0,0.2,0,1007,-503.5,20535,21.06,0,0.2,0,1032,-516,,21233.190000000002,0.85,Tonnage-based,4,0,Simple - Price difference per litre * metric tonnes * tonnage carried,Actual Fuel Price for last fueling,,YES,168480.0,1600.0,0.0,166880.0,20240408141229,20240415115241,20240408141229.20240415115241,20240408141229.20240415115241
